Id,Label,io,iob,year,field,field2,type,polygon_field,color_field,polygon_io,color_io,color_io2,polygon
973,UN2003Res58183,UN,UNGA,2003,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
974,UN2003Res58217,UN,UNGA,2003,NonHR,NonHR-Institutions,Res,,#c7c7c7,,#1f77b4,#1144a3,0
975,UN2003Res584,UN,UNGA,2003,NonHR,,Res,,#c7c7c7,,#1f77b4,#1144a3,0
976,UN2003StatemCommUndDev,UN,UNSDG,2003,Community,Develop,,7,#8c564b,,#1f77b4,,0
977,UN2003ViennaDecJudges,UN,COP,2003,Civil,JustSys,Decl,4,#1f77b4,,#1f77b4,#109917,0
978,UN2004GenComCCPR31,UN,CCPR,2004,Political,,GenCom,3,#e377c2,,#1f77b4,#2a2a24,3
979,UN2004GenRecCEDAW25,UN,CEDAW,2004,Discrimination,Women,GenRec,6,#d62728,,#1f77b4,#94290f,3
980,UN2004HRCres17,UN,HRC,2004,Community,Enviro,Res,7,#8c564b,,#1f77b4,#7edff1,0
981,UN2004HRCres200443,UN,HRC,2004,Civil,,Res,4,#1f77b4,,#1f77b4,#7edff1,0
982,UN2004HRCres200448,UN,HRC,2004,NonHR,,Res,,#c7c7c7,,#1f77b4,#7edff1,0
983,UN2004Res59151,UN,UNGA,2004,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
984,UN2004Res59158,UN,UNGA,2004,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
985,UN2004Res59159,UN,UNGA,2004,Civil,,Res,4,#1f77b4,,#1f77b4,#1144a3,0
986,UN2004Res59166,UN,UNGA,2004,Civil,Traffick,Res,4,#1f77b4,,#1f77b4,#1144a3,0
987,UN2004Res59174,UN,UNGA,2004,Discrimination,Indig,Res,6,#d62728,,#1f77b4,#1144a3,0
988,UN2004Res59228,UN,UNGA,2004,EcoSoc,,Res,5,#ff7f0e,,#1f77b4,#1144a3,0
989,UN2004Res59261,UN,UNGA,2004,Discrimination,Children,Res,6,#d62728,,#1f77b4,#1144a3,0
990,UN2004Res5935,UN,UNGA,2004,NonHR,,Res,,#c7c7c7,,#1f77b4,#1144a3,0
991,UN2005BasPrincGuideVictimViol,UN,UNGA,2005,Civil,JustSys,Princ,4,#1f77b4,,#1f77b4,#1144a3,0
992,UN2005CSWRes497,UN,CSW,2005,Discrimination,Indig,Res,6,#d62728,,#1f77b4,,0
993,UN2005GenComCESCR16,UN,CESCR,2005,EcoSoc,Women,GenCom,5,#ff7f0e,,#1f77b4,#88540e,3
